name,location,country,subdomain,url
Georgia State University,"Atlanta, Georgia",🇺🇸,gsu,https://www.coursicle.com/gsu/
University of Texas San Antonio,"San Antonio, Texas",🇺🇸,utsa,https://www.coursicle.com/utsa/
University of Pittsburgh,"Pittsburgh, Pennsylvania",🇺🇸,pitt,https://www.coursicle.com/pitt/
Simon Fraser University,"Burnaby, British Columbia",🇨🇦,sfuca,https://www.coursicle.com/sfuca/
University of Illinois at Chicago,"Chicago, Illinois",🇺🇸,uic,https://www.coursicle.com/uic/
Colorado State University,"Fort Collins, Colorado",🇺🇸,colostate,https://www.coursicle.com/colostate/
Auburn University,"Auburn, Alabama",🇺🇸,auburn,https://www.coursicle.com/auburn/
University of Kentucky,"Lexington, Kentucky",🇺🇸,uky,https://www.coursicle.com/uky/
University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",🇺🇸,unc,https://www.coursicle.com/unc/
University of Arkansas,"Fayetteville, Arkansas",🇺🇸,uark,https://www.coursicle.com/uark/
University of Texas Rio Grande Valley,"Edinburg, Texas",🇺🇸,utrgv,https://www.coursicle.com/utrgv/
University at Buffalo,"Buffalo, New York",🇺🇸,buffalo,https://www.coursicle.com/buffalo/
University of Massachusetts Amherst,"Amherst, Massachusetts",🇺🇸,umass,https://www.coursicle.com/umass/
McMaster University,"Hamilton, Ontario",🇨🇦,mcmasterca,https://www.coursicle.com/mcmasterca/
"California State University, Sacramento","Sacramento, California",🇺🇸,csus,https://www.coursicle.com/csus/
Northeastern University,"Boston, Massachusetts",🇺🇸,neu,https://www.coursicle.com/neu/
"University of Nevada, Las Vegas","Las Vegas, Nevada",🇺🇸,unlv,https://www.coursicle.com/unlv/
University of Missouri,"Columbia, Missouri",🇺🇸,missouri,https://www.coursicle.com/missouri/
University of Texas at Dallas,"Richardson, Texas",🇺🇸,utdallas,https://www.coursicle.com/utdallas/
Florida Atlantic University,"Boca Raton, Florida",🇺🇸,fau,https://www.coursicle.com/fau/
Carleton University,"Ottawa, Ontario",🇨🇦,carletonca,https://www.coursicle.com/carletonca/
Washington State University - Pullman,"Pullman, Washington",🇺🇸,wsu,https://www.coursicle.com/wsu/
Weber State University,"Ogden, Utah",🇺🇸,weber,https://www.coursicle.com/weber/
Bakersfield College,"Bakersfield, California",🇺🇸,bakersfieldcollege,https://www.coursicle.com/bakersfieldcollege/
Harvard University,"Cambridge, Massachusetts",🇺🇸,harvard,https://www.coursicle.com/harvard/
Johns Hopkins University,"Baltimore, Maryland",🇺🇸,jhu,https://www.coursicle.com/jhu/
East Los Angeles College,"Monterey Park, California",🇺🇸,elac,https://www.coursicle.com/elac/
University of North Carolina at Charlotte,"Charlotte, North Carolina",🇺🇸,uncc,https://www.coursicle.com/uncc/
Temple University,"Philadelphia, Pennsylvania",🇺🇸,temple,https://www.coursicle.com/temple/
Iowa State University,"Ames, Iowa",🇺🇸,iastate,https://www.coursicle.com/iastate/
University of Iowa,"Iowa City, Iowa",🇺🇸,uiowa,https://www.coursicle.com/uiowa/
University of Manitoba,"Winnipeg, Manitoba",🇨🇦,umanitobaca,https://www.coursicle.com/umanitobaca/
University of Oklahoma,"Norman, Oklahoma",🇺🇸,ou,https://www.coursicle.com/ou/
College of Southern Nevada,"Las Vegas, Nevada",🇺🇸,csn,https://www.coursicle.com/csn/
Clemson University,"Clemson, South Carolina",🇺🇸,clemson,https://www.coursicle.com/clemson/
Mt. San Antonio College,"Walnut, California",🇺🇸,mtsac,https://www.coursicle.com/mtsac/
University of Pennsylvania,"Philadelphia, Pennsylvania",🇺🇸,penn,https://www.coursicle.com/penn/
University of Kansas,"Lawrence, Kansas",🇺🇸,ku,https://www.coursicle.com/ku/
Virginia Commonwealth University,"Richmond, Virginia",🇺🇸,vcu,https://www.coursicle.com/vcu/
Northern Arizona University,"Flagstaff, Arizona",🇺🇸,nau,https://www.coursicle.com/nau/
Utah State University,"Logan, Utah",🇺🇸,usu,https://www.coursicle.com/usu/
"El Paso Community College, Rio Grande","El Paso, Texas",🇺🇸,epccriogrande,https://www.coursicle.com/epccriogrande/
Salt Lake Community College,"Salt Lake City, Utah",🇺🇸,slcc,https://www.coursicle.com/slcc/
University of Connecticut,"Waterbury, Connecticut",🇺🇸,uconn,https://www.coursicle.com/uconn/
East Carolina University,"Greenville, North Carolina",🇺🇸,ecu,https://www.coursicle.com/ecu/
"Salt Lake Community College, Taylorsville Redwood","Taylorsville, Utah",🇺🇸,slcctaylorsvilleredwood,https://www.coursicle.com/slcctaylorsvilleredwood/
Boise State University,"Boise, Idaho",🇺🇸,boisestate,https://www.coursicle.com/boisestate/
Washington State University - Vancouver,"Vancouver, Washington",🇺🇸,vancouverwsu,https://www.coursicle.com/vancouverwsu/
South Texas College,"McAllen, Texas",🇺🇸,southtexascollege,https://www.coursicle.com/southtexascollege/
"University of California, Riverside","Riverside, California",🇺🇸,ucr,https://www.coursicle.com/ucr/
Cornell University,"Ithaca, New York",🇺🇸,cornell,https://www.coursicle.com/cornell/
Kent State University,"New Philadelphia, Ohio",🇺🇸,kent,https://www.coursicle.com/kent/
"University of California, Santa Barbara","Santa Barbara, California",🇺🇸,ucsb,https://www.coursicle.com/ucsb/
Oklahoma State University,"Stillwater, Oklahoma",🇺🇸,okstate,https://www.coursicle.com/okstate/
Georgia Southern University,"Statesboro, Georgia",🇺🇸,georgiasouthern,https://www.coursicle.com/georgiasouthern/
University of Virginia,"Charlottesville, Virginia",🇺🇸,virginia,https://www.coursicle.com/virginia/
Stony Brook University,"Stony Brook, New York",🇺🇸,stonybrook,https://www.coursicle.com/stonybrook/
The George Washington University,"Washington, District of Columbia",🇺🇸,gwu,https://www.coursicle.com/gwu/
Indiana University - Purdue University Indianapolis,"Indianapolis, Indiana",🇺🇸,iupui,https://www.coursicle.com/iupui/
