university,course_code,title,url
Stanford,CS 148,Introduction to Computer Graphics and Imaging,https://www.coursicle.com/stanford/courses/CS/148/
Stanford,CS 149,Parallel Computing,https://www.coursicle.com/stanford/courses/CS/149/
Stanford,CS 151,Logic Programming,https://www.coursicle.com/stanford/courses/CS/151/
Stanford,CS 152,Trust and Safety Engineering,https://www.coursicle.com/stanford/courses/CS/152/
Stanford,CS 154,Introduction to Automata and Complexity Theory,https://www.coursicle.com/stanford/courses/CS/154/
Stanford,CS 155,Computer and Network Security,https://www.coursicle.com/stanford/courses/CS/155/
Stanford,CS 157,Computational Logic,https://www.coursicle.com/stanford/courses/CS/157/
Stanford,CS 161,Design and Analysis of Algorithms,https://www.coursicle.com/stanford/courses/CS/161/
Stanford,CS 166,Data Structures,https://www.coursicle.com/stanford/courses/CS/166/
Stanford,CS 168,The Modern Algorithmic Toolbox,https://www.coursicle.com/stanford/courses/CS/168/
Stanford,CS 170,"Stanford Laptop Orchestra: Composition, Coding, and Performa...",https://www.coursicle.com/stanford/courses/CS/170/
Stanford,CS 181,"Computers, Ethics, and Public Policy",https://www.coursicle.com/stanford/courses/CS/181/
Stanford,CS 181W,"Computers, Ethics, and Public Policy (WIM)",https://www.coursicle.com/stanford/courses/CS/181W/
Stanford,CS 182,"Ethics, Public Policy, and Technological Change",https://www.coursicle.com/stanford/courses/CS/182/
Stanford,CS 183E,Effective Leadership in High-Tech,https://www.coursicle.com/stanford/courses/CS/183E/
Stanford,CS 184,Bridging Policy and Tech Through Design,https://www.coursicle.com/stanford/courses/CS/184/
Stanford,CS 190,Software Design Studio,https://www.coursicle.com/stanford/courses/CS/190/
Stanford,CS 191,Senior Project,https://www.coursicle.com/stanford/courses/CS/191/
Stanford,CS 191W,Writing Intensive Senior Project (WIM),https://www.coursicle.com/stanford/courses/CS/191W/
Stanford,CS 193P,iOS Application Development,https://www.coursicle.com/stanford/courses/CS/193P/
Stanford,CS 193X,Web Programming Fundamentals,https://www.coursicle.com/stanford/courses/CS/193X/
Stanford,CS 194,Software Project,https://www.coursicle.com/stanford/courses/CS/194/
Stanford,CS 194A,Android Programming Workshop,https://www.coursicle.com/stanford/courses/CS/194A/
Stanford,CS 194H,User Interface Design Project,https://www.coursicle.com/stanford/courses/CS/194H/
Stanford,CS 194W,Software Project (WIM),https://www.coursicle.com/stanford/courses/CS/194W/
Stanford,CS 195,Supervised Undergraduate Research,https://www.coursicle.com/stanford/courses/CS/195/
Stanford,CS 196,Computer Consulting,https://www.coursicle.com/stanford/courses/CS/196/
Stanford,CS 197,Computer Science Research,https://www.coursicle.com/stanford/courses/CS/197/
Stanford,CS 198,Teaching Computer Science,https://www.coursicle.com/stanford/courses/CS/198/
Stanford,CS 198B,Additional Topics in Teaching Computer Science,https://www.coursicle.com/stanford/courses/CS/198B/
Stanford,CS 199,Independent Work,https://www.coursicle.com/stanford/courses/CS/199/
Stanford,CS 199P,Independent Work,https://www.coursicle.com/stanford/courses/CS/199P/
Stanford,CS 202,Law for Computer Science Professionals,https://www.coursicle.com/stanford/courses/CS/202/
Stanford,CS 203,Cybersecurity: a Legal and Technical Perspective,https://www.coursicle.com/stanford/courses/CS/203/
Stanford,CS 204,Computational Law,https://www.coursicle.com/stanford/courses/CS/204/
Stanford,CS 205A,"Mathematical Methods for Robotics, Vision, and Graphics",https://www.coursicle.com/stanford/courses/CS/205A/
Stanford,CS 205L,Continuous Mathematical Methods with an Emphasis on Machine...,https://www.coursicle.com/stanford/courses/CS/205L/
Stanford,CS 206,Exploring Computational Journalism,https://www.coursicle.com/stanford/courses/CS/206/
Stanford,CS 208E,Great Ideas in Computer Science,https://www.coursicle.com/stanford/courses/CS/208E/
Stanford,CS 209,"Law, Bias, & Algorithms",https://www.coursicle.com/stanford/courses/CS/209/
